Comment;Site;Benefit;Make;URL;Year;Supplier;VehicleType;Price 1;Price;Mileage;VATIncluded
;drom.ru;20;KAMAZ;https://spec.drom.ru/chelyabinsk/truck/truck-tractor/sedelnyj-tjagach-kamaz-5490-s5-2015-g-v-85404325.html;2015;;Truck;1870492;1550000;;
;drom.ru;44;KAMAZ;https://spec.drom.ru/miass/truck/truck-tractor/sedelnyj-tjagach-kamaz-43118-6h6-spalnik-vezdehod-83531733.html;2017;;Truck;3986932;2750000;;
;drom.ru;20;KAMAZ;https://spec.drom.ru/irkutsk/truck/truck-tractor/prodaetsja-sedelnyj-tjagach-kamaz-vezdehod-6-6-65225-84041150.html;2017;;Truck;3986932;3300000;;
;drom.ru;61;KAMAZ;https://spec.drom.ru/belovo/truck/truck-tractor/sedelnyj-tjagach-kamaz-5490-014-87-s5-86655613.html;2018;Балтийский лизинг;Truck;4206160;2600000;;
;drom.ru;29;KAMAZ;https://spec.drom.ru/naberezhnye-chelny/truck/truck-tractor/kamaz-43118-sedelnyj-tjagach-kamaz-44108-kamaz-53504-75706649.html;2019;;Truck;4978053;3850000;;
;drom.ru;75;KAMAZ;https://spec.drom.ru/kazan/truck/truck-tractor/tjagach-sedelnyj-kamaz-53504-46-84990343.html;2016;Балтийский лизинг;Truck;3249251;1850000;;
;drom.ru;44;KAMAZ;https://spec.drom.ru/miass/truck/truck-tractor/sedelnyj-tjagach-kamaz-43118-6h6-spalnik-vezdehod-2017-83261448.html;2017;;Truck;3986932;2750000;;
;drom.ru;66;KAMAZ;https://spec.drom.ru/naberezhnye-chelny/truck/truck-tractor/kamaz-44108-sedelnyj-tjagach-6h6-vezdehod-75362147.html;2019;;Truck;4978053;2989000;;
;drom.ru;40;MAZ;https://spec.drom.ru/moskva/truck/truck-tractor/motor-jamz-653-renault-kpp-zf-pnevma-v-nalichii-127-600-km-67564164.html;2018;;Truck;3085797;2190000;;
;drom.ru;33;KAMAZ;https://spec.drom.ru/perm/truck/truck-tractor/sedelnyj-tjagach-kamaz-5490-s5-2016-g-v-87068092.html;2016;;Truck;2279510;1710000;;
;drom.ru;12;KAMAZ;https://spec.drom.ru/novosibirsk/truck/truck-tractor/prodaetsja-kamaz-2019-g-v-v-novosibirske-87194644.html;2019;СИБТРАКСКАН;Truck;4487301;4000000;;
;drom.ru;31;KAMAZ;https://spec.drom.ru/stavropol/truck/truck-tractor/kamaz-65116-6912-48-a5-78023653.html;2019;;Truck;4800498;3637800;;
;drom.ru;33;KAMAZ;https://spec.drom.ru/stavropol/truck/truck-tractor/kamaz-53504-306030-50-belyj-sever-78022420.html;2019;;Truck;4978053;3740000;;
;drom.ru;47;KAMAZ;https://spec.drom.ru/ekaterinburg/truck/truck-tractor/cedelnyj-tjagach-kamaz-65116-2016-god-na-gazu-85518016.html;2016;;Truck;2662669;1800000;;
;drom.ru;34;KAMAZ;https://spec.drom.ru/naberezhnye-chelny/truck/truck-tractor/kamaz-44108-sedelnyj-tjagach-75457772.html;2019;;Truck;4978053;3698000;;
;drom.ru;40;MAZ;https://spec.drom.ru/krasnoyarsk/truck/truck-tractor/gruzovoj-sedelnyj-tjagach-maz-probeg-130212-85936330.html;2017;;Truck;2521811;1800000;;
