confidence,result,user,date,url
1.0,ok,leshchenko,2020-04-11 17:15:06.926578+00:00,https://auto.ru/artic/used/sale/kamaz/5490/16391436-cc10b2ed/
1.0,ok,leshchenko,2020-04-15 17:58:57.649000+00:00,https://auto.ru/artic/used/sale/kamaz/5490/16400696-c1844f32/
0.38444,unclear,auto,2020-10-26 10:50:55.346575+00:00,https://auto.ru/artic/used/sale/kamaz/5490/16400696-c1844f32/
0.38444,unclear,auto,2020-10-26 10:51:13.717368+00:00,https://auto.ru/artic/used/sale/kamaz/5490/16400696-c1844f32/
0.38444,unclear,auto,2020-10-26 10:51:45.856782+00:00,https://auto.ru/artic/used/sale/kamaz/5490/16400696-c1844f32/
0.38444,unclear,auto,2020-10-26 10:50:37.942616+00:00,https://auto.ru/artic/used/sale/kamaz/5490/16400696-c1844f32/
1.0,unclear,leshchenko,2020-04-11 17:13:35.786270+00:00,https://auto.ru/artic/used/sale/kamaz/5490/16401716-42f088d7/
1.0,unclear,leshchenko,2020-04-11 17:13:26.197079+00:00,https://auto.ru/artic/used/sale/kamaz/5490/16406224-33e6b431/
1.0,ok,leshchenko,2020-04-15 17:50:53.433000+00:00,https://auto.ru/artic/used/sale/kamaz/5490/16408932-f157d10a/
1.0,ok,leshchenko,2020-04-11 17:14:54.422968+00:00,https://auto.ru/artic/used/sale/kamaz/5490/16409526-0e1970ca/
1.0,ok,leshchenko,2020-05-18 16:23:17.534000+00:00,https://auto.ru/artic/used/sale/kamaz/5490/16428284-255f3422/
1.0,unclear,leshchenko,2020-05-18 16:18:17.703000+00:00,https://auto.ru/artic/used/sale/kamaz/5490/16429996-a545c41a/
0.48795,unclear,auto,2020-10-26 10:50:44.168416+00:00,https://auto.ru/artic/used/sale/kamaz/5490/16430910-30dc3f23/
0.48795,unclear,auto,2020-10-26 10:51:00.414861+00:00,https://auto.ru/artic/used/sale/kamaz/5490/16430910-30dc3f23/
0.48795,unclear,auto,2020-10-26 10:51:50.638735+00:00,https://auto.ru/artic/used/sale/kamaz/5490/16430910-30dc3f23/
0.48795,unclear,auto,2020-10-26 10:51:27.500311+00:00,https://auto.ru/artic/used/sale/kamaz/5490/16430910-30dc3f23/
1.0,unclear,leshchenko,2020-05-18 16:19:57.384000+00:00,https://auto.ru/artic/used/sale/kamaz/5490/16430910-30dc3f23/
1.0,ok,leshchenko,2020-05-18 16:20:11.920000+00:00,https://auto.ru/artic/used/sale/kamaz/5490/16439002-eab8924b/
1.0,leasing,leshchenko,2020-06-17 07:23:16.655000+00:00,https://auto.ru/artic/used/sale/kamaz/5490/16484828-e0954880/
1.0,ok,leshchenko,2020-06-26 13:18:23.247000+00:00,https://auto.ru/artic/used/sale/kamaz/5490/16486640-0464c288/
0.3593,ok,auto,2020-10-26 10:51:01.327088+00:00,https://auto.ru/artic/used/sale/kamaz/5490/16502116-d93b06b4/
0.3593,ok,auto,2020-10-26 10:50:43.497014+00:00,https://auto.ru/artic/used/sale/kamaz/5490/16502116-d93b06b4/
0.3593,ok,auto,2020-10-26 10:51:43.903432+00:00,https://auto.ru/artic/used/sale/kamaz/5490/16502116-d93b06b4/
0.3593,ok,auto,2020-10-26 10:51:09.107089+00:00,https://auto.ru/artic/used/sale/kamaz/5490/16502116-d93b06b4/
0.60883,unclear,auto,2020-10-26 10:50:35.542194+00:00,https://auto.ru/artic/used/sale/kamaz/5490/16506482-51c89687/
0.60883,unclear,auto,2020-10-26 10:51:18.066522+00:00,https://auto.ru/artic/used/sale/kamaz/5490/16506482-51c89687/
0.60883,unclear,auto,2020-10-26 10:50:56.004701+00:00,https://auto.ru/artic/used/sale/kamaz/5490/16506482-51c89687/
0.60883,unclear,auto,2020-10-26 10:51:36.337644+00:00,https://auto.ru/artic/used/sale/kamaz/5490/16506482-51c89687/
1.0,unclear,leshchenko,2020-08-05 07:22:45.365000+00:00,https://auto.ru/artic/used/sale/kamaz/5490/16527180-04380923/
