Model;URL;Year;Price;Mileage;VehicleType;Make;Supplier;VATIncluded;Location
S01;https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/16669545-a9b12f0f/;2003;770000;;Curtainsider;SCHMITZ CARGOBULL;Global Truck Sales Екатеринбург;;Екатеринбург
SDP 27;https://auto.ru/trailer/used/sale/krone/sdp_27/16715449-f8ed94bc/;2005;729000;;Curtainsider;KRONE;КОМПАНИЯ АВТОМОБИЛИЯ;;Ярославль
SD;https://auto.ru/trailer/used/sale/krone/sd/16710892-e9af7d86/;2011;1300000;;Curtainsider;KRONE;;;Челябинск
S24;https://auto.ru/trailer/used/sale/kogel/s24/16704872-784dc7ff/;2018;2150000;;Curtainsider;KOGEL;PRO АВТО;;Люберцы
S01;https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/16715531-9ab55ace/;2013;1500000;589000;Curtainsider;SCHMITZ CARGOBULL;700 МАШИН;Цена с НДС;Елино
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16723008-e43a7a04/;2011;2830000;700000;Refrigerator;SCHMITZ CARGOBULL;;;Москва
SD;https://auto.ru/trailer/used/sale/krone/sd/16646830-1086a8f3/;2011;2360000;;Refrigerator;KRONE;Глобал Трак Сейлс Москва;;Москва
NS;https://auto.ru/trailer/used/sale/wielton/ns/16645288-315a7332/;2009;890000;399000;Curtainsider;WIELTON;ТРАК ПЛАТФОРМА;;Люберцы
S01;https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/16725870-dd168263/;2008;800000;299000;Curtainsider;SCHMITZ CARGOBULL;ТРАК ПЛАТФОРМА;;Люберцы
S24;https://auto.ru/trailer/used/sale/kogel/s24/16706084-1651f3b9/;2018;2150000;;Curtainsider;KOGEL;PRO АВТО;;Люберцы
SN24;https://auto.ru/trailer/used/sale/kogel/sn24/16680634-4fabe02e/;2011;950000;199000;Curtainsider;KOGEL;ТРАК ПЛАТФОРМА;Цена с НДС;Люберцы
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16649548-484a62ad/;2012;2570000;;Refrigerator;SCHMITZ CARGOBULL;Глобал Трак Сейлс Москва;Цена с НДС;Москва
SD;https://auto.ru/trailer/used/sale/krone/sd/16717190-fab18973/;2007;720000;;Curtainsider;KRONE;;;Нижний Новгород
Profi Liner;https://auto.ru/trailer/used/sale/krone/profi_liner/16719866-d61a6340/;2013;1350000;500000;Platform;KRONE;;;Красноярск
SCS;https://auto.ru/trailer/used/sale/schmitz_cargobull/scs/16722042-b7b39644/;2017;2040000;;Curtainsider;SCHMITZ CARGOBULL;;;Тула
SD;https://auto.ru/trailer/used/sale/krone/sd/16688080-b9e4c5ed/;2016;1950000;;Curtainsider;KRONE;;;Симферополь
S01;https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/16705006-d7921f57/;2018;960000;;Curtainsider;SCHMITZ CARGOBULL;PRO АВТО;;Люберцы
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16687348-9d5cc749/;2011;2600000;;Refrigerator;SCHMITZ CARGOBULL;Global Truck Sales Санкт-Петербург;;Санкт-Петербург
SDR 27;https://auto.ru/trailer/used/sale/krone/sdr_27/16291858-8dcb9f2a/;2003;750000;;Refrigerator;KRONE;;;Нижний Новгород
SD;https://auto.ru/trailer/used/sale/krone/sd/16369152-f2edb0dd/;2011;1820000;900000;Refrigerator;KRONE;;;Белгород
SD;https://auto.ru/trailer/used/sale/krone/sd/16718182-c225a825/;2018;2200000;;Curtainsider;KRONE;КРОНЕ СканБалт;Цена с НДС;Химки
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16635282-fcf7dca5/;2019;5200000;55000;Refrigerator;SCHMITZ CARGOBULL;;;Махачкала
NS;https://auto.ru/trailer/used/sale/wielton/ns/16383058-c7587cd5/;2012;1090000;400000;Platform;WIELTON;АГТ-Трейдинг;;Москва
S01;https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/16689702-d3419a11/;2007;750000;1000000;Curtainsider;SCHMITZ CARGOBULL;;;Себеж
SD;https://auto.ru/trailer/used/sale/krone/sd/16699096-441325d6/;2017;2090000;150000;Curtainsider;KRONE;;;Новосибирск
SN24;https://auto.ru/trailer/used/sale/kogel/sn24/16725980-bbf63255/;2011;900000;299000;Curtainsider;KOGEL;ТРАК ПЛАТФОРМА;;Люберцы
SPR;https://auto.ru/trailer/used/sale/schmitz_cargobull/spr/16711412-8922e996/;2015;949777;700000;Platform;SCHMITZ CARGOBULL;ТТ777;Цена с НДС;Москва
SD;https://auto.ru/trailer/used/sale/krone/sd/16712671-420b2744/;2008;865000;299000;Curtainsider;KRONE;ТРАК ПЛАТФОРМА;;Люберцы
SD;https://auto.ru/trailer/used/sale/krone/sd/16669757-a9f9553e/;2013;1550000;590000;Curtainsider;KRONE;;;Вязьма
SD;https://auto.ru/trailer/used/sale/krone/sd/16307578-0eee1f3c/;2012;1400000;45000;Curtainsider;KRONE;;;Воронеж
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16717610-a3ddaf32/;2013;2700000;700000;Refrigerator;SCHMITZ CARGOBULL;CargoLine group;;Ольша
SN24;https://auto.ru/trailer/used/sale/kogel/sn24/16647880-9bfe5264/;2006;480000;;Platform;KOGEL;Трак-Сток;;Москва
SD;https://auto.ru/trailer/used/sale/krone/sd/16221538-dc0b9051/;2011;1150000;;Curtainsider;KRONE;;;Сухой Лог
SD;https://auto.ru/trailer/used/sale/krone/sd/16552674-aa7bba3d/;2018;2600000;81000;Curtainsider;KRONE;Группа ГРАССМАНН и ЛОМТЕВ;Цена с НДС;Москва
;https://auto.ru/trailer/used/sale/meusburger/tentovanniy_polupricep/16669398-31eeb253/;2015;1660000;600000;Curtainsider;MEUSBURGER;M7 TRUCK Уфа;;Авдон
;https://auto.ru/trailer/used/sale/meusburger/tentovanniy_polupricep/16679394-0e122349/;2015;1695000;600000;Curtainsider;MEUSBURGER;M7 TRUCK Набережные Челны;;Набережные Челны
