price,vat_included,year,mileage,location,url,make,name,supplier,gear,hp,formula,cab
5700000,Цена с НДС,2019,,Солонцы,https://auto.ru/artic/new/sale/faw/j6_1/16636856-9a2258fb/,FAW,FAW J6 CA4250,Трак Про,механическая,420,6x4,2-х местная с 2 спальными
1700000,,2012,752008,Люберцы,https://auto.ru/artic/used/sale/renault/premium_tractor/16521036-f8ee455e/,RENAULT,Renault Premium,PRO АВТО,механическая,380,4x2,2-х местная с 2 спальными
2850000,,2012,945906,Люберцы,https://auto.ru/artic/used/sale/volvo/fh_tractor/16526406-74aee235/,VOLVO,Volvo FH,PRO АВТО,механическая,440,4x2,2-х местная с 2 спальными
2199000,,2012,640120,Рязань,https://auto.ru/artic/used/sale/renault/premium_tractor/16501554-48b4483b/,RENAULT,Renault Premium,,механическая,380,6x4,2-х местная с 1 спальным
2550000,Цена с НДС,2014,536438,Москва,https://auto.ru/artic/used/sale/mercedes/axor_t/16639178-88104015/,MERCEDES,Mercedes-Benz Axor,Global Truck Sales Москва Север,механическая,401,4x2,2-х местная с 1 спальным
1550000,Цена с НДС,2011,791508,Люберцы,https://auto.ru/artic/used/sale/man/tgs/16639186-69258aec/,MAN,MAN TGS,ТРАК ПЛАТФОРМА,механическая,360,4x2,2-х местная с 1 спальным
1990000,,2013,648880,Новониколаевский,https://auto.ru/artic/used/sale/mercedes/axor_t/16476280-cb0bced0/,MERCEDES,Mercedes-Benz Axor,M7 TRUCK Казань,механическая,401,4x2,2-х местная с 2 спальными
1800000,,2011,1475000,Новониколаевский,https://auto.ru/artic/used/sale/iveco/stralis_tractor/16520388-66a40c10/,IVECO,IVECO Stralis,M7 TRUCK Казань,механическая,420,4x2,2-х местная с 1 спальным
4340000,,2014,696000,Новониколаевский,https://auto.ru/artic/used/sale/volvo/fm_tractor/16173010-b5f7e27e/,VOLVO,Volvo FM,M7 TRUCK Казань,механическая,428,6x4,2-х местная с 1 спальным
1900000,,2012,702000,Мытищи,https://auto.ru/artic/used/sale/man/tgs/16639172-3daded69/,MAN,MAN TGS,КОМДОРАВТО,механическая,440,4x2,2-х местная с 1 спальным
1950000,,2012,1655628,Домодедово,https://auto.ru/artic/used/sale/man/tgs/16486980-acb30504/,MAN,MAN TGS,"ООО""Трейд Моторс",механическая,400,4x2,2-х местная с 1 спальным
2350000,,2014,1253150,Домодедово,https://auto.ru/artic/used/sale/man/tgs/16417163-de92d082/,MAN,MAN TGS,"ООО""Трейд Моторс",механическая,400,4x2,2-х местная с 1 спальным
1990000,,2011,1304928,Домодедово,https://auto.ru/artic/used/sale/mercedes/axor_t/16560308-0cd1b477/,MERCEDES,Mercedes-Benz Axor,"ООО""Трейд Моторс",автоматическая,401,4x2,2-х местная с 1 спальным
