ProfSupplier;Gear;HP;Formula;VehicleType;URL;Price;Year;Mileage;Location;Supplier;Make;Model;CabSeats;CabBeds
True;;;;Refrigerator;https://auto.ru/trailer/used/sale/krone/sd/16354136-9749e1ab/;3899000;2018;150000;Челябинск;Mercedes-Benz Financial Services Rus;KRONE;SD;;
False;;;;Curtainsider;https://auto.ru/trailer/used/sale/krone/sd/16153462-c49f5ea0/;1980000;2018;70000;Владимир;;KRONE;SD;;
True;;;;Refrigerator;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16384410-51461300/;4315000;2017;;Москва;ClassTrucks;SCHMITZ CARGOBULL;SKO;;
True;;;;Refrigerator;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16386488-9e7d8e2d/;3400000;2015;280000;Домодедово;СТТ-АВТО;SCHMITZ CARGOBULL;SKO;;
True;;;;Curtainsider;https://auto.ru/trailer/used/sale/krone/sd/16251958-e579f989/;1810000;2015;;Кимовск;Юнион КРОНЕ Кимовск;KRONE;SD;;
False;;;;Refrigerator;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16337712-7ef76311/;3300000;2015;;Рязань;;SCHMITZ CARGOBULL;SKO;;
True;;;;Curtainsider;https://auto.ru/trailer/used/sale/krone/sd/15768920-a9fa01c3/;1750000;2015;;Екатеринбург;ООО 'Трак';KRONE;SD;;
True;;;;Curtainsider;https://auto.ru/trailer/used/sale/krone/sd/15856872-17059967/;1825000;2015;;Кимовск;Юнион КРОНЕ Кимовск;KRONE;SD;;
False;;;;Refrigerator;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16389240-a3cadc2e/;3250000;2015;500000;Нижний Новгород;;SCHMITZ CARGOBULL;SKO;;
True;;;;Curtainsider;https://auto.ru/trailer/used/sale/schmitz_cargobull/scb/16386240-3313053f/;2180000;2017;265000;Дубровки;Триера Трак;SCHMITZ CARGOBULL;SCB;;
False;;;;Curtainsider;https://auto.ru/trailer/used/sale/kaessbohrer/kaessbohrer/16355316-b794bcc1/;1550000;2018;150000;Копейск;;KASSBOHRER;Kassbohrer;;
True;;;;Curtainsider;https://auto.ru/trailer/used/sale/schmitz_cargobull/scb/16392194-d02cf13b/;2100000;2018;55000;Москва;АГТ-Трейдинг;SCHMITZ CARGOBULL;SCB;;
False;;;;Curtainsider;https://auto.ru/trailer/used/sale/krone/profi_liner/16219808-c61bbc3f/;1650000;2015;200000;Подпорожье;;KRONE;Profi Liner;;
False;;;;Refrigerator;https://auto.ru/trailer/used/sale/krone/cool_liner/15630656-dc79afff/;3700000;2017;;Томск;;KRONE;Cool Liner;;
True;;;;Refrigerator;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16018344-abd7504e/;3659000;2017;1000;Чёрная Грязь;M7 TRUCK Москва;SCHMITZ CARGOBULL;SKO;;
True;;;;Curtainsider;https://auto.ru/trailer/used/sale/krone/sd/16323374-26fa0030/;1610000;2016;;Кимовск;Юнион КРОНЕ Кимовск;KRONE;SD;;
True;;;;Refrigerator;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16385036-952ab4d7/;4315000;2017;;Тосно;ClassTrucks;SCHMITZ CARGOBULL;SKO;;
True;;;;Curtainsider;https://auto.ru/trailer/used/sale/krone/sd/16353998-14d454a2/;2020000;2017;246357;Москва;АГТ-Трейдинг;KRONE;SD;;
True;;;;Refrigerator;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16385034-174bcf4f/;4315000;2017;;Тосно;ClassTrucks;SCHMITZ CARGOBULL;SKO;;
True;;;;Curtainsider;https://auto.ru/trailer/used/sale/krone/profi_liner/16173086-ba3ddf86/;1800000;2016;;Новониколаевский;M7 TRUCK Казань;KRONE;Profi Liner;;
True;;;;Refrigerator;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16231888-6652e1c9/;4315000;2017;;Екатеринбург;ClassTrucks;SCHMITZ CARGOBULL;SKO;;
True;;;;Refrigerator;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16330344-31d2417e/;3903000;2016;;Тосно;ClassTrucks;SCHMITZ CARGOBULL;SKO;;
True;;;;Refrigerator;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16343492-2119e1c5/;4315000;2017;;Екатеринбург;ClassTrucks;SCHMITZ CARGOBULL;SKO;;
False;;;;Refrigerator;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16334212-594457ea/;3280000;2016;350000;Москва;;SCHMITZ CARGOBULL;SKO;;
True;;;;Refrigerator;https://auto.ru/trailer/used/sale/kogel/s24/16354168-3cbab1a3/;3699000;2018;150000;Москва;Mercedes-Benz Financial Services Rus;KOGEL;S24;;
True;;;;Refrigerator;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16338684-ff2008e8/;3960000;2017;;Румянцево;СГМ - ГРУПП;SCHMITZ CARGOBULL;SKO;;
False;;;;Curtainsider;https://auto.ru/trailer/used/sale/schmitz_cargobull/scs/16204202-4608c229/;2235085;2018;100000;Смоленск;;SCHMITZ CARGOBULL;SCS;;
True;;;;Curtainsider;https://auto.ru/trailer/used/sale/krone/sd/16061632-c8378c45/;2050000;2018;53601;Москва;АГТ-Трейдинг;KRONE;SD;;
True;;;;Refrigerator;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16226288-65d51679/;3300000;2015;;Москва;Шмитц Каргобулл Руссланд;SCHMITZ CARGOBULL;SKO;;
False;;;;Curtainsider;https://auto.ru/trailer/used/sale/schmitz_cargobull/scs/16005796-3667d5f5/;1690000;2015;600000;Москва;;SCHMITZ CARGOBULL;SCS;;
True;;;;Curtainsider;https://auto.ru/trailer/used/sale/schmitz_cargobull/scs/16276712-3684004f/;1720000;2017;;Зеленоград;СпецТранс Карго;SCHMITZ CARGOBULL;SCS;;
True;;;;Curtainsider;https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/16221330-fb6618b3/;1950000;2017;110569;Москва;АГТ-Трейдинг;SCHMITZ CARGOBULL;S01;;
True;;;;Curtainsider;https://auto.ru/trailer/used/sale/krone/sd/16353294-70a7824f/;1990000;2017;265000;Дубровки;Триера Трак;KRONE;SD;;
True;;;;Refrigerator;https://auto.ru/trailer/used/sale/kogel/s24/16354128-e7d44fe8/;3699000;2018;50000;Челябинск;Mercedes-Benz Financial Services Rus;KOGEL;S24;;
False;;;;Curtainsider;https://auto.ru/trailer/used/sale/schmitz_cargobull/scs/16368992-3a41a30e/;1980000;2017;;Тула;;SCHMITZ CARGOBULL;SCS;;
False;;;;Curtainsider;https://auto.ru/trailer/used/sale/krone/sd/16362392-c1e68606/;2000000;2019;74860;Екатеринбург;;KRONE;SD;;
True;;;;Curtainsider;https://auto.ru/trailer/used/sale/krone/sd/16137542-e651a6be/;1750000;2016;1000;Москва;M7 TRUCK Москва Юг;KRONE;SD;;
False;;;;Refrigerator;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16071034-263dd6bc/;3390000;2015;600000;Москва;;SCHMITZ CARGOBULL;SKO;;
