Тип ТС;Марка;Модель;Год выпуска;Цена поставщика;Регион склада;URL авто;Пробег;Тип КПП;Колесная формула;Мощность двигателя;Сидений;Спальных мест;Поставщик;Наша расчетная цена;Выгода;Рекомендация;Мин. аванс;Лизинговый платеж 0% / 48 мес.;Качество верификации;Верификация;Федеральный округ
Шторный;Krone;SD;2017;1650000;Дубровки;https://auto.ru/trailer/used/sale/krone/sd/16542668-6c81c631/;180000;;;;;;Триера Трак;1920000;270000;Горячая цена! Срочно брать!;0;53000;0,36888;ok;ЦФО
Шторный;Schmitz Cargobull;S01;2018;2100000;Санкт-Петербург;https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/16360976-92f6a571/;111111;;;;;;Вираж;2000000;-100000;Цена завышена - можно поторговаться;20;67000;;;СЗФО
Рефрижератор;Schmitz Cargobull;SKO;2017;3800000;Тосно;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16384556-83db2fab/;;;;;;;ClassTrucks;4250000;450000;Горячая цена! Срочно брать!;0;122000;0,58401;unclear;СЗФО
Шторный;Schmitz Cargobull;SCS;2019;2685375;Смоленск;https://auto.ru/trailer/used/sale/schmitz_cargobull/scs/16478046-37ca5b32/;170000;;;;;;ГРИН ЛАЙН;1970000;-715375;Цена завышена - можно поторговаться;50;86000;;;ЦФО
Бортовой;Kögel;SN24;2015;1495000;Солнечногорск;https://auto.ru/trailer/used/sale/kogel/sn24/16543748-e0a35205/;577000;;;;;;ТРАНСАЛЬЯНС Москва;1180000;-315000;Цена завышена - можно поторговаться;40;48000;;;ЦФО
Шторный;Krone;SD;2016;1780000;Кимовск;https://auto.ru/trailer/used/sale/krone/sd/16440158-61c6fdb6/;;;;;;;Юнион КРОНЕ Кимовск;1800000;20000;;10;57000;;;ЦФО
Рефрижератор;Schmitz Cargobull;SKO;2017;4150000;Тосно;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16537010-d04f8ccf/;;;;;;;ClassTrucks;4250000;100000;;10;133000;;;СЗФО
Шторный;Krone;SD;2018;1990000;Дубровки;https://auto.ru/trailer/used/sale/krone/sd/16509834-571fc496/;140000;;;;;;Триера Трак;2020000;30000;;10;64000;;;ЦФО
Рефрижератор;Krone;SD;2017;3970000;Кимовск;https://auto.ru/trailer/used/sale/krone/sd/16528832-eafa50ac/;50;;;;;;Юнион КРОНЕ Кимовск;4270000;300000;Горячая цена! Срочно брать!;0;127000;;;ЦФО
Рефрижератор;Schmitz Cargobull;SKO;2017;3750000;Набережные Челны;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16509156-9ec3e07f/;350000;;;;;;АТРАКС;3910000;160000;;10;120000;;;ПФО
Шторный;Krone;SD;2016;1727000;Зеленоград;https://auto.ru/trailer/used/sale/krone/sd/16192972-c68db036/;;;;;;;Global Truck Sales Москва Север;1800000;73000;;10;55000;;;ЦФО
Шторный;Krone;SD;2018;1980000;Владимир;https://auto.ru/trailer/used/sale/krone/sd/16153462-c49f5ea0/;70000;;;;;;;2020000;40000;;10;63000;;;ЦФО
Рефрижератор;Schmitz Cargobull;SKO;2016;3550000;Москва;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16510234-5976b49f/;;;;;;;ClassTrucks;3750000;200000;Горячая цена! Срочно брать!;0;114000;;;ЦФО
Рефрижератор;Krone;SD;2017;3890000;Кимовск;https://auto.ru/trailer/used/sale/krone/sd/16463296-73386bcc/;;;;;;;Юнион КРОНЕ Кимовск;4110000;220000;Горячая цена! Срочно брать!;0;124000;;;ЦФО
Рефрижератор;Krone;SD;2017;3620000;Кимовск;https://auto.ru/trailer/used/sale/krone/sd/16463302-eab8f648/;;;;;;;Юнион КРОНЕ Кимовск;4110000;490000;Горячая цена! Срочно брать!;0;116000;0,41696;ok;ЦФО
Рефрижератор;Schmitz Cargobull;SKO;2017;4150000;Тосно;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16535082-ee9167c4/;;;;;;;ClassTrucks;4250000;100000;;10;133000;;;СЗФО
Рефрижератор;Schmitz Cargobull;SKO;2015;3250000;Нижний Новгород;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16389240-a3cadc2e/;500000;;;;;;;3290000;40000;;10;104000;;;ПФО
Рефрижератор;Schmitz Cargobull;SKO;2018;4300000;Смоленск;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16441622-44028747/;400000;;;;;;ООО 'РЕД СТАР' МАЗ Смоленск;4210000;-90000;;10;138000;;;ЦФО
Рефрижератор;Schmitz Cargobull;SKO;2015;3190000;Москва;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16404736-91339da7/;600000;;;;;;;3290000;100000;;10;102000;;;ЦФО
Шторный;Schmitz Cargobull;SCB;2018;2100000;Москва;https://auto.ru/trailer/used/sale/schmitz_cargobull/scb/16392194-d02cf13b/;55000;;;;;;АГТ-Трейдинг;2000000;-100000;Цена завышена - можно поторговаться;20;67000;;;ЦФО
Рефрижератор;Schmitz Cargobull;SKO;2016;3550000;Смоленск;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16478084-0d222f94/;620000;;;;;;ГРИН ЛАЙН;3640000;90000;;10;114000;;;ЦФО
Рефрижератор;Schmitz Cargobull;SKO;2019;4600000;Казань;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16504542-31388a12/;90000;;;;;;ЗилантМоторс;4320000;-280000;Цена завышена - можно поторговаться;20;147000;;;ПФО
Шторный;Krone;SD;2017;2020000;Москва;https://auto.ru/trailer/used/sale/krone/sd/16353998-14d454a2/;246357;;;;;;АГТ-Трейдинг;1920000;-100000;Цена завышена - можно поторговаться;20;65000;;;ЦФО
Шторный;Schmitz Cargobull;SCB;2017;1850000;Авдон;https://auto.ru/trailer/used/sale/schmitz_cargobull/scb/16537384-dad5c1f0/;;;;;;;M7 TRUCK Уфа;1900000;50000;;10;59000;;;ПФО
Шторный;Schmitz Cargobull;S01;2017;1920000;Тула;https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/16510528-9f5debff/;;;;;;;;1900000;-20000;;10;61000;;;ЦФО
Рефрижератор;Krone;SD;2017;3990000;Санкт-Петербург;https://auto.ru/trailer/used/sale/krone/sd/16411346-a7e62d29/;;;;;;;Группа Милан;4110000;120000;;10;128000;;;СЗФО
Шторный;Meusburger;;2015;1650000;Зеленоград;https://auto.ru/trailer/used/sale/meusburger/tentovanniy_polupricep/16528560-b44df8cc/;;;;;;;Global Truck Sales Москва Север;1510000;-140000;Цена завышена - можно поторговаться;20;53000;;;ЦФО
Рефрижератор;Kögel;S24;2018;3830000;Подольск;https://auto.ru/trailer/used/sale/kogel/s24/16463836-c7924692/;90000;;;;;;КомТоргТранс;4230000;400000;Горячая цена! Срочно брать!;0;123000;0,52152;ok;ЦФО
Шторный;Krone;SD;2018;2050000;Москва;https://auto.ru/trailer/used/sale/krone/sd/16061632-c8378c45/;53601;;;;;;АГТ-Трейдинг;2030000;-20000;;10;66000;1;ok;ЦФО
